29.0;23884;-58.5;NULL;NULL;NULL;275;8;590.3;NULL;590.3
27.0;24335;-55.9;NULL;NULL;NULL;290;10;609.7;NULL;609.7
26.0;24577;-55.6;NULL;NULL;NULL;315;11;617.2;NULL;617.2
25.0;24828;-55.3;NULL;NULL;NULL;190;1;625.1;NULL;625.1
23.0;25361;-54.6;NULL;NULL;NULL;160;10;642.1;NULL;642.1
22.0;25645;-54.2;NULL;NULL;NULL;170;15;651.4;NULL;651.4
21.6;25763;-54.1;NULL;NULL;NULL;194;11;655.3;NULL;655.3
21.0;25945;-53.1;NULL;NULL;NULL;230;6;663.6;NULL;663.6
20.0;26260;-51.3;NULL;NULL;NULL;220;4;678.4;NULL;678.4
19.0;26597;-49.3;NULL;NULL;NULL;160;13;694.7;NULL;694.7
18.0;26952;-47.1;NULL;NULL;NULL;150;11;712.2;NULL;712.2
17.8;27026;-46.7;NULL;NULL;NULL;149;13;715.9;NULL;715.9
17.0;27330;-48.1;NULL;NULL;NULL;145;19;720.9;NULL;720.9
16.0;27733;-46.4;NULL;NULL;NULL;130;19;739.1;NULL;739.1
15.4;27986;-45.3;NULL;NULL;NULL;133;14;750.8;NULL;750.8
15.0;28164;-42.4;NULL;NULL;NULL;135;11;766.1;NULL;766.1
14.8;28254;-40.9;NULL;NULL;NULL;133;18;774.0;NULL;774.0
14.0;28634;-40.0;NULL;NULL;NULL;125;46;789.5;NULL;789.5
13.1;29089;-38.9;NULL;NULL;NULL;125;41;808.4;NULL;808.4
13.0;29141;-38.6;NULL;NULL;NULL;125;40;811.1;NULL;811.1
12.3;29524;-36.5;NULL;NULL;NULL;135;51;831.5;NULL;831.5
12.0;29696;-33.1;NULL;NULL;NULL;140;56;849.5;NULL;849.5
11.9;29755;-31.9;NULL;NULL;NULL;140;58;855.7;NULL;855.7
11.2;30183;-32.7;NULL;NULL;NULL;136;73;867.7;NULL;867.7
11.0;30311;-31.4;NULL;NULL;NULL;135;78;877.1;NULL;877.1
10.9;30376;-30.7;NULL;NULL;NULL;135;78;881.9;NULL;881.9
10.7;30507;-29.3;NULL;NULL;NULL;135;77;891.6;NULL;891.6
10.0;30990;-30.5;NULL;NULL;NULL;135;74;904.5;NULL;904.5
9.5;31353;-31.7;NULL;NULL;NULL;135;70;913.3;NULL;913.3
9.0;31738;-30.9;NULL;NULL;NULL;135;65;930.7;NULL;930.7
8.0;32575;-29.1;NULL;NULL;NULL;115;64;969.6;NULL;969.6
