ALMA/TOPEKA^^^^^;KTWX;TWX;&;39;00N;096;14W;417;X;8;US
AUGUSTA^^^^^^^^^;K3AU;3AU;&;37;40N;097;05W;416;X;8;US
BENTON^^^^^^^^^^;K1K1;1K1;&;37;46N;097;07W;416;X;8;US
NEODESHA^PROFILE;&;NDS;74542;37;22N;095;37W;255;W;8;US
NEW^ALMELO^^^^^^;KAL8;AL8;&;39;36N;100;07W;734;X;W;8;US
NEWTON^^^^^^^^^^;KEWK;EWK;&;38;02N;097;16W;467;X;W;7;US
OLATHE/INDUSTRIA;KIXD;IXD;&;38;49N;094;53W;342;X;A;7;US
OLATHE/EXECUTIVE;KOJC;OJC;&;38;51N;094;44W;326;X;A;7;US
OSWEGO/VOR^^^^^^;KOSW;OSW;&;37;09N;095;12W;283;V;8;US
OTTAWA^^^^^^^^^^;KOWI;OWI;&;38;32N;095;15W;295;X;8;US
PARSONS^^^^^^^^^;KPPF;PPF;&;37;20N;095;30W;274;X;A;7;US
PITTSBURG^^^^^^^;KPTS;PTS;&;37;27N;094;44W;290;X;8;US
PRATT^INDUST^^^^;KPTT;PTT;&;37;42N;098;45W;595;X;W;8;US
RUSSELL^^^^^^^^^;KRSL;RSL;&;38;52N;098;49W;567;X;T;A;6;US
SALINA^^^^^^^^^^;KSLN;SLN;&;38;47N;097;39W;385;X;U;A;6;US
SUBLETTE^^^^^^^^;K19S;19S;&;37;30N;100;50W;888;X;8;US
TOPEKA/FORBES^^^;KFOE;FOE;&;38;56N;095;39W;320;X;T;A;6;US
TOPEKA^^^^^^^^^^;KTOP;TOP;72456;39;04N;095;38W;268;X;T;X;A;F;3;US
WAKEENEY^^^^^^^^;KWK6;WK6;&;39;02N;099;53W;752;X;W;7;US
WICHITA^^^^^^^^^;KICT;ICT;72450;37;39N;097;26W;407;X;X;U;A;F;3;US
WICHITA/JABARA^^;KAAO;AAO;&;37;45N;097;13W;434;X;A;7;US
WICHITA/BEECH^^^;KBEC;BEC;&;37;42N;097;13W;430;X;8;US
WINFIELD/ARKANSA;KWLD;WLD;&;37;10N;097;02W;350;X;A;7;US
ELKHART^^^^^^^^^;K1K5;1K5;&;37;00N;101;53W;1102;Z;8;US
SMOKEY^HILL^GUN^;&;&;74545;38;39N;097;48W;422;Z;8;US
WICHITA/JABARA^^;K3KM;3KM;&;37;45N;097;13W;433;Z;8;US
OBERLIN^^^^^^^^^;KOIN;OIN;&;39;50N;100;32W;824;X;W;9;US
SYRACUSE^^^^^^^^;K3K3;3K3;&;38;00N;101;45W;1013;X;W;9;US
NORTON^^^^^^^^^^;KNRN;NRN;&;39;51N;099;54W;727;X;W;9;US
TRIBUNE^^^^^^^^^;KTRB;TRB;&;38;27N;101;45W;1103;X;W;9;US
COLBY^^^^^^^^^^^;KCBK;CBK;&;39;26N;101;03W;971;X;W;9;US
GRINNELL^^^^^^^^;KGNL;GNL;&;39;08N;100;37W;887;X;W;9;US
HOXIE^^^^^^^^^^^;KHOX;HOX;&;39;22N;100;26W;833;X;W;9;US
PHILLIPSBURG^^^^;KPHG;PHG;&;39;44N;099;19W;582;X;W;9;US
HERNDON^^^^^^^^^;KHD7;HD7;&;39;55N;100;50W;814;X;W;9;US
LOGAN^^^^^^^^^^^;KLG5;LG5;&;39;40N;099;34W;597;X;W;9;US
ST^FRANCIS^^^^^^;KSYF;SYF;&;39;46N;101;48W;1025;X;W;9;US
ABILENE^^^^^^^^^;KK78;K78;&;38;54N;097;14W;352;X;W;9;US
ELLSWORTH^^^^^^^;K9K7;9K7;&;38;45N;098;14W;492;X;W;9;US
EUREKA^^^^^^^^^^;K13K;13K;&;37;51N;096;18W;369;X;W;9;US
FORT^SCOTT^^^^^^;KFSK;FSK;&;37;48N;094;46W;280;X;W;9;US
HUGOTON^^^^^^^^^;KHQG;HQG;&;37;10N;101;22W;956;X;W;9;US
JOHNSON^^^^^^^^^;KJHN;JHN;&;37;35N;101;44W;1014;X;9;US
KINGMAN^^^^^^^^^;K9K8;9K8;&;37;40N;098;07W;490;X;W;9;US
MCPHERSON^^^^^^^;KMPR;MPR;&;38;21N;097;41W;457;X;W;9;US
OAKLEY^^^^^^^^^^;KOEL;OEL;&;39;07N;100;49W;929;X;W;9;US
SCOTT^CITY^^^^^^;KTQK;TQK;&;38;28N;100;53W;904;X;W;9;US
SMITH^CENTER^^^^;KK82;K82;&;39;46N;098;48W;549;X;W;9;US
ULYSSES^^^^^^^^^;KULS;ULS;&;37;36N;101;22W;936;X;W;9;US
WELLINGTON^^^^^^;KEGT;EGT;&;37;19N;097;23W;390;X;W;9;US
JOHNSON^^^^^^^^^;K2K3;2K3;&;37;35N;101;44W;1014;Z;9;US
