BLOOMFIELD^PROFI;&;BLM;74662;36;52N;089;58W;130;W;8;US
BOONVILLE^^^^^^^;KVER;VER;&;38;57N;092;41W;218;X;7;US
SIKESTON^^^^^^^^;KSIK;SIK;&;36;54N;089;34W;96;X;W;8;US
SPICKARD^^^^^^^^;KP35;P35;72540;40;15N;093;43W;270;X;7;US
SPRINGFIELD^^^^^;KSGF;SGF;72440;37;14N;093;23W;390;X;X;U;X;A;F;5;US
ST^CHARLES/88D^^;KLSX;LSX;&;38;42N;090;41W;185;X;F;8;US
ST.^CHARLES^^^^^;KSET;SET;&;38;56N;090;26W;134;X;A;7;US
ST.^JOSEPH^^^^^^;KSTJ;STJ;72449;39;46N;094;55W;247;X;T;A;4;US
ST.^LOUIS/SPIRIT;KSUS;SUS;&;38;39N;090;39W;141;X;T;A;3;US
ST.^LOUIS^^^^^^^;KSTL;STL;72434;38;45N;090;22W;171;X;U;A;0;US
SULLIVAN^^^^^^^^;KUUV;UUV;&;38;14N;091;10W;284;X;W;8;US
VICHY/ROLLA^^^^^;KVIH;VIH;&;38;08N;091;46W;333;X;A;7;US
WARSAW^^^^^^^^^^;KRAW;RAW;&;38;21N;093;21W;285;X;W;8;US
WARRENSBURG^SKYH;KRCM;RCM;&;38;47N;093;48W;244;X;8;US
WASHINGTON^^^^^^;KFYG;FYG;&;38;35N;091;00W;149;X;W;8;US
WEST^PLAINS^^^^^;KUNO;UNO;72348;36;53N;091;54W;372;X;A;7;US
WHITEMAN^AFB^^^^;KSZL;SZL;&;38;43N;093;32W;265;X;T;6;US
POPLAR^BLUFF^^^^;KP02;P02;72330;36;46N;090;28W;146;Z;8;US
ST.^CHARLES^^^^^;K3SQ;3SQ;&;38;51N;090;30W;135;Z;8;US
CAMDENTON^^^^^^^;KH21;H21;&;37;58N;092;41W;324;Z;8;US
WEST^PLAINS^^^^^;KH63;H63;&;36;45N;091;52W;308;Z;8;US
WARRENSBURG^SKYH;K9K4;9K4;&;38;47N;093;48W;244;Z;9;US
