IOWA^CITY^I80^^^;XIOW;&;&;41;41N;091;35W;250;X;R;9;US
JEFFERSON^IA4^^^;XJEF;&;&;42;03N;094;23W;310;X;R;9;US
LEON^I35/IA2^^^^;XLEO;&;&;40;44N;093;50W;349;X;R;9;US
MANCHESTER^US20^;XMAN;&;&;42;26N;091;26W;309;X;R;9;US
MAQUOKETA^61/64^;XMAQ;&;&;42;04N;090;41W;251;X;R;9;US
MARSHALTOWN^US30;XMAR;&;&;42;01N;092;58W;291;X;R;9;US
MASON^CITY^I35^^;XMCW;&;&;43;02N;093;20W;376;X;R;9;US
MISSOURI^VAL^I29;XMIS;&;&;41;32N;095;55W;309;X;R;9;US
MT^PLEASANT^U218;XMOU;&;&;40;53N;091;33W;133;X;R;9;US
NEW^HAMPTON^US18;XNEW;&;&;43;02N;092;28W;327;X;R;9;US
ONAWA^I29^^^^^^^;XONA;&;&;41;52N;096;01W;303;X;R;9;US
OSCEOLA^I35^^^^^;XOSC;&;&;41;02N;093;47W;334;X;R;9;US
OTTUMWA^US63^^^^;XOTT;&;&;41;01N;092;25W;196;X;R;9;US
PELLA^IA163^^^^^;XPEL;&;&;41;23N;092;52W;271;X;R;9;US
RED^OAK^US34/71^;XRED;&;&;40;59N;094;59W;290;X;R;9;US
SIDNEY^I29/IA2^^;XSID;&;&;40;41N;095;47W;287;X;R;9;US
SIGOURNEY^IA92^^;XSIG;&;&;41;20N;092;19W;202;X;R;9;US
SIOUX^CITY^I29^^;XSIO;&;&;42;29N;096;23W;364;X;R;9;US
SPENCER^US18^^^^;XSPE;&;&;43;08N;095;05W;452;X;R;9;US
STORM^LAKE^71/3^;XSTO;&;&;42;44N;095;09W;405;X;R;9;US
TIPTON^I80^^^^^^;XTIP;&;&;41;38N;091;08W;236;X;R;9;US
URBANA^I380^^^^^;XURB;&;&;42;19N;091;59W;302;X;R;9;US
WATERLOO^US20^^^;XWAT;&;&;42;27N;092;19W;269;X;R;9;US
WILLIAMS^I35^^^^;XWIL;&;&;42;32N;093;34W;325;X;R;9;US
WILLAIMSBURG^I80;XWBG;&;&;41;41N;092;01W;260;X;R;9;US
